kode,nama,satuan_kerja,anggaran,satuan_kerja_id
1.04.02,PROGRAM PENGEMBANGAN PERUMAHAN,Dinas Perumahan dan Permukiman,210153615928,1012
3.28.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Kehutanan,180642538062,1019
2.22.05,PROGRAM PELESTARIAN DAN PENGELOLAAN CAGAR BUDAYA,Dinas Pariwisata dan Kebudayaan,592500000,1009
1.03.08,PROGRAM PENATAAN BANGUNAN GEDUNG,Dinas Bina Marga dan Penataan Ruang,371187147675,1010
3.30.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Perindustrian dan Perdagangan,5351834610,1015
1.02.05,PROGRAM PEMBERDAYAAN MASYARAKAT BIDANG KESEHATAN,Dinas Kesehatan,3203655032,1004
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Sekretariat Daerah,400621143546,1001
2.12.05,PROGRAM PENGELOLAAN PROFIL KEPENDUDUKAN,Dinas Kependudukan dan Pencatatan Sipil,71730000,1023
1.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Satuan Polisi dan Pamong Praja,23277809140,1027
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Pendapatan Daerah,362069953099,1005
3.27.07,PROGRAM PENYULUHAN PERTANIAN,Dinas Ketahanan Pangan dan Peternakan,743160000,1017
2.23.03,PROGRAM PELESTARIAN KOLEKSI NASIONAL DAN NASKAH KUNO,Dinas Perpustakaan dan Kearsipan,42871750,1040
4.01.03,PROGRAM PEMERINTAHAN DAN OTONOMI DAERAH,Sekretariat Daerah,28683744683,1001
3.28.03,PROGRAM PENGELOLAAN HUTAN,Dinas Kehutanan,44534140448,1019
5.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Kepegawaian Daerah,35128686873,1030
3.26.05,PROGRAM PENGEMBANGAN SUMBER DAYA PARIWISATA DAN EKONOMI KREATIF,Dinas Pariwisata dan Kebudayaan,10499334009,1009
1.06.03,PROGRAM PENANGANAN WARGA NEGARA MIGRAN KORBAN TINDAK KEKERASAN,Dinas Sosial,141144500,1006
1.05.02,PROGRAM PENINGKATAN KETENTERAMAN DAN KETERTIBAN UMUM,Satuan Polisi dan Pamong Praja,14279580646,1027
3.31.02,PROGRAM PERENCANAAN DAN PEMBANGUNAN INDUSTRI,Dinas Perindustrian dan Perdagangan,5601091351,1015
2.17.03,PROGRAM PENGAWASAN DAN PEMERIKSAAN KOPERASI,Dinas Koperasi dan Usaha Kecil,1192973600,1014
2.13.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Pemberdayaan Masyarakat dan Desa,43486560962,1042
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Pengelolaan Keuangan dan Aset Daerah,93951693741,1024
5.07.02,PROGRAM PELAYANAN PENGHUBUNG,Badan Penghubung,887337000,1043
2.08.07,PROGRAM PERLINDUNGAN KHUSUS ANAK,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",496350000,1041
2.17.02,PROGRAM PELAYANAN IZIN USAHA SIMPAN PINJAM,Dinas Koperasi dan Usaha Kecil,382960100,1014
2.22.02,PROGRAM PENGEMBANGAN KEBUDAYAAN,Dinas Pariwisata dan Kebudayaan,11417480415,1009
8.01.05,"PROGRAM PEMBINAAN DAN PENGEMBANGAN KETAHANAN EKONOMI, SOSIAL, DAN BUDAYA",Badan Kesatuan Bangsa dan Politik,834000000,1035
2.08.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",22851804343,1041
2.09.03,PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT,Dinas Ketahanan Pangan dan Peternakan,14787198426,1017
2.19.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Pemuda dan Olahraga,36208688364,1021
